username,game_company,country,score,age,sex
PVCU9bAC,TiMi,US,10,10,0
xnXgtVkm,TiMi,CN,3,27,0
pyiQOoLY,GY,CN,5,17,0
vYvhq3bS,TiMi,KR,81,29,1
MzAGf5W7,NEXON,KR,41,21,0
fEc9546v,NEXON,US,73,49,0
FIvKD9Vr,NEXON,US,10,20,0
5EkCy3lC,GY,CN,15,33,0
5rKNpgJz,GY,KR,16,17,1
JveQGvif,NEXON,UK,23,25,0
JsYguFtI,NEXON,US,76,15,0
utxlRVcB,NETS,UK,54,36,1
0t4iMbSX,GY,US,28,41,1
DDIeAPfO,NEXON,UK,70,28,0
ne2Tuvhi,Tencent,UK,7,24,1
0yA4wrtJ,NEXON,US,58,50,1
2ClAcHiN,GY,CN,48,21,1
0tywRS4y,NEXON,US,70,29,0
i22aRMP5,NETS,UK,59,32,0
EGJfLkFT,Tencent,US,61,43,0
thR5njny,GY,KR,28,33,1
Tupd4D12,Tencent,US,43,17,0
usFOcjy2,GY,KR,90,41,1
bWkNMycY,NEXON,CN,87,38,1
UchhnsMq,Tencent,US,35,11,1
os0qHevR,TiMi,UK,84,43,0
rVVkxOTY,TiMi,CN,9,37,1
praVDBNn,NETS,KR,65,26,1
w7YjobJs,Tencent,CN,45,46,1
Ffxan4I2,NETS,CN,10,49,1
cqlGnzjR,NETS,UK,76,25,1
BvF31zyA,NEXON,US,55,47,1
jHNmxnZg,GY,US,91,35,0
TQxkoUsB,Tencent,CN,30,39,1
glQwyH6E,NETS,UK,8,49,1
GfIhWWpN,NEXON,KR,66,37,0
SsLDCNoP,NEXON,UK,32,48,1
qf2ohC8T,NETS,US,35,27,0
RBcljxi7,NEXON,CN,32,16,1
UvtL4Rqi,NEXON,CN,46,34,0
BrSbSXpK,NEXON,US,2,43,1
Vj56tkB0,GY,UK,22,49,1
ULWUjR6t,TiMi,US,91,25,1
zLcGQi75,Tencent,US,67,42,0
Mw3yBwPm,GY,CN,77,38,1
NazgOCwz,GY,CN,55,25,1
2zwkyj43,GY,US,3,34,1
GHRyemZ1,NEXON,KR,92,33,1
lzbytENV,TiMi,US,99,12,0
OZsalS2o,Tencent,CN,35,43,0
TiVBruim,GY,KR,6,37,1
HpoPKihI,Tencent,KR,17,10,0
ODRyxGO6,GY,US,51,29,0
SHpX4Itq,GY,CN,32,48,1
xveIbBqc,Tencent,KR,63,25,0
f3q6l50L,NEXON,UK,39,46,0
38aZttjF,NEXON,US,56,50,0
ybTd50El,TiMi,KR,86,27,0
CNVw0uet,TiMi,US,36,15,1
YW1e74nd,GY,CN,66,34,1
cHhgWCso,GY,US,18,14,0
OYGRfV5R,NEXON,UK,57,32,1
2RGYmFiF,TiMi,US,73,36,0
9uSN8DYL,TiMi,KR,49,34,1
A6iCqN6x,NETS,CN,55,19,0
zVcyUtvU,GY,KR,59,10,1
JvMt1pqt,NEXON,UK,40,19,1
aogUlk7w,NEXON,KR,82,33,1
bampx793,TiMi,UK,13,30,1
JzTQ2ifJ,NEXON,KR,26,19,1
K3QAuB9N,GY,KR,51,38,1
TUREleiq,NEXON,KR,50,32,0
p1mlKE7b,NETS,KR,80,11,1
vdJJvuuB,NETS,UK,53,37,1
XnvcXxW1,NETS,UK,59,48,0
mk59884Z,TiMi,US,29,10,0
oKsWfwfE,NEXON,CN,11,31,1
MFaoS6Gn,NETS,US,75,20,1
cG3mPO5f,NEXON,UK,73,17,1
i4mPCito,Tencent,KR,19,11,0
3Ea87xgb,GY,KR,35,38,0
NQivzR7N,GY,KR,40,39,1
ivEKIRb5,NEXON,UK,35,18,0
Gj7UuBUg,TiMi,US,79,32,0
